Test_No,q,mu,A0,A1,C,B0,B1,M
1,281474976317441,281474977103871,303379748,281473912364672,308591034,0,0,0
2,140737518764033,562949831786518,140735386277384,140736148297314,258283196,0,0,x
3,140737470791681,562950023675908,112818957,1189058957,3450204723,281474215744420,1367332517,x
4,140737513783297,562949851709454,140736167052388,140735470064145,132010366,x,x,x
5,140737471578113,562950020530179,15983361,114806029,24652872,x,x,x
6,140737513259009,562949853806605,992211318,512609597,2149973480,x,x,x
7,140737471971329,562950018957315,1993627629,1177417612,433322714,x,x,x
8,140737509851137,562949867438089,2097015289,140736983934149,3652096167,x,x,x
9,140737480359937,562949985402877,140737025246402,140736792220327,764201214,x,x,x
10,140737509457921,562949869010952,1924134885,140736323416694,5689591879,x,x,x
11,140737481801729,562949979635709,140735514859023,1206705039,813567193,x,x,x
12,140737508671489,562949872156679,2033215986,140737056380621,846283951,x,x,x
13,140737482981377,562949974917116,140737303182053,140737014419138,5271487345,0,0,0
14,140737506705409,562949880020997,777537884,140736908896444,976461618,155012552960249,126463030116688,281473912364672
15,140737483898881,562949971247100,140735734569002,140736204056162,777278361,127070882866455,13662370924280,140736148297314
16,140737504608257,562949888409603,140736162390626,91457290,4219480308,140293372963399,444323466196,1189058957
17,140737484685313,562949968101372,140736429499005,274997536,731601384,1699319119808,139035501201671,140735470064145
18,140737499496449,562949908856831,1433945514,140736651775132,4955719319,15548922186389,125188581358446,114806029
19,140737485864961,562949963382780,140736608747155,140735507970064,2624635693,122311317658408,18428180023237,512609597
20,140737493729281,562949931925500,140735448496140,140736034362962,2889449562,28461240798972,112280218427615,1177417612
21,140737486520321,562949960761340,899669355,140737135651538,1385626782,86120510348069,54621193533646,140736983934149
22,140737490976769,562949942935548,140735356553729,140736803520173,1180662927,58838286484494,81898283648373,140736792220327
23,140737487306753,562949957615612,251652381,140737085010636,1374407730,132309623593381,8431734134310,140736323416694
24,140737488486401,562949952897020,293882147,84501770,326170516,91693824183046,49039723733271,1206705039
25,281474975662081,281474977759231,281474532313801,281473336822843,8397263039,39522847406598,101218727696863,140737056380621
26,281474974482433,281474978938879,2036907506,1160667530,1902705956,63650392982948,77086730399781,140737014419138
27,281474966880257,281474986541055,549761857,281474655925463,6590153662,41669372769046,99069689012131,140736908896444
28,281474962554881,281474990866431,1008792440,281473993282184,4642077150,79220969756351,61513015482772,140736204056162
29,281474960326657,281474993094655,1975848427,1526883766,4147861211,140732704595252,2115577743,91457290
30,281474957180929,281474996240384,1665923526,1460999086,1758436513,74711263691239,66024110621458,274997536
31,281474955476993,281474997944320,281474435187387,353361194,4433433839,86191117421490,54549249965987,140736651775132
32,281474952462337,281475000958977,281472951491082,281473802944112,2510658626,130096554939980,10639176689369,140735507970064
