Test_No,q,mu,A0,A1,C,B0,B1,M
1,281474976317441,281474977103871,303379748,281473912364672,308591034,0,0,0
2,140737518764033,562949831786518,140735386277384,140736148297314,258283196,0,0,0
3,140737470791681,562950023675908,112818957,1189058957,3450204723,0,0,0
4,140737513783297,562949851709454,140736167052388,140735470064145,132010366,0,0,x
5,140737471578113,562950020530179,15983361,114806029,24652872,281474215744420,1367332517,x
6,140737513259009,562949853806605,992211318,512609597,2149973480,140734015810665,140736756744103,x
7,140737471971329,562950018957315,1993627629,1177417612,433322714,1301877914,140736394551681,x
8,140737509851137,562949867438089,2097015289,140736983934149,3652096167,140734123333236,696988243,x
9,140737480359937,562949985402877,140737025246402,140736792220327,764201214,130789390,140737372755445,x
10,140737509457921,562949869010952,1924134885,140736323416694,5689591879,1504820915,479601721,x
11,140737481801729,562949979635709,140735514859023,1206705039,813567193,3171045241,816210017,x
12,140737508671489,562949872156679,2033215986,140737056380621,846283951,1571098301,2622932277,0
13,140737482981377,562949974917116,140737303182053,140737014419138,5271487345,140736337106792,233026075,0
14,140737506705409,562949880020997,777537884,140736908896444,976461618,738093658,3110176112,155012249580501
15,140737483898881,562949971247100,140735734569002,140736204056162,777278361,140736721564062,140734308153984,127073015353104
16,140737504608257,562949888409603,140736162390626,91457290,4219480308,1580925118,2485506854,140293260144442
17,140737484685313,562949968101372,140736429499005,274997536,731601384,140736834619814,288762915,1700665850717
18,140737499496449,562949908856831,1433945514,140736651775132,4955719319,179728919,1375346849,15548906203028
19,140737485864961,562949963382780,140736608747155,140735507970064,2624635693,140734454726283,140737014411721,122310325447090
20,140737493729281,562949931925500,140735448496140,140736034362962,2889449562,140736253847916,140736070933336,28459247171343
21,140737486520321,562949960761340,899669355,140737135651538,1385626782,140736704496541,140736154501469,86118413332780
22,140737490976769,562949942935548,140735356553729,140736803520173,1180662927,586224197,2281666831,58838741598029
23,140737487306753,562949957615612,251652381,140737085010636,1374407730,140734630852258,1100777091,132307699458496
24,140737488486401,562949952897020,293882147,84501770,326170516,140733989129821,140736907862459,91695791125752
25,281474975662081,281474977759231,281474532313801,281473336822843,8397263039,548800572,1250538138,39520814190612
26,281474974482433,281474978938879,2036907506,1160667530,1902705956,140734669097133,140736044010325,63650572782272
27,281474966880257,281474986541055,549761857,281474655925463,6590153662,140737336663017,653948498,41668595231162
28,281474962554881,281474990866431,1008792440,281473993282184,4642077150,378383917,209380377,79222719086230
29,281474960326657,281474993094655,1975848427,1526883766,4147861211,281472893474563,1195490958,140734046812883
30,281474957180929,281474996240384,1665923526,1460999086,1758436513,3197575036,876239976,74712318877547
31,281474955476993,281474997944320,281474435187387,353361194,4433433839,238807063,860716651,86189683475976
32,281474952462337,281475000958977,281472951491082,281473802944112,2510658626,39519743,1978065137,130097432057786
