Test_No,q_hex,A_hex,B_hex,M_hex,Expected_hex
1,281474976317441,303379748,281473911971457,0,x
2,140737518764033,140735386277384,140736148297314,0,232256401690236
3,140737470791681,112818957,1189058957,0,87404031189386
4,140737513783297,140736167052388,140735470064145,0,25581675775856
5,140737471578113,15983361,114806029,0,76931767513036
6,140737513259009,992211318,512609597,0,5399075968000
7,140737471971329,1993627629,1177417612,0,132408454019329
8,140737509851137,2097015289,140736983934149,0,112724616576886
9,140737480359937,140737009255620,140736776229545,0,103900122531137
10,140737509457921,1924134885,140736323416694,0,626193730755
11,140737481801729,140735501751825,1206705039,0,96153450743041
12,140737508671489,2033215986,140737056380621,0,104769401488706
13,140737482981377,140737292434151,140737003671236,0,114596028764767
14,140737506705409,777537884,140736908896444,0,133328789286570
15,140737483898881,140735725656108,140736195143268,0,36866965635867
16,140737504608257,140736162390626,91457290,0,71751948450749
17,140737484685313,140736422158975,274997536,96153450743041,108254401528371
18,140737499496449,1433945514,140736651775132,104769401488706,119630806291933
19,140737485864961,140736603766421,140735502989330,114596028764767,104341016004524
20,140737493729281,140735448496140,140736034362962,133328789286570,6224776943432
21,140737486520321,899669355,140737131981524,36866965635867,124330961115812
22,140737490976769,140735356553729,140736803520173,71751948450749,84191122101772
23,140737487306753,251652381,140737082913486,108254401528371,134854069555015
24,140737488486401,293882147,84501770,119630806291933,127412309170445
25,281474975662081,281474531265226,281473335774268,104341016004524,63763619293614
26,281474974482433,2036907506,1160667530,6224776943432,22274660900406
27,281474966880257,549761857,281474646095064,124330961115812,64093149525413
28,281474962554881,1008792440,281473979126409,84191122101772,129340832137738
29,281474960326657,1975848427,1526883766,134854069555015,124035171603845
30,281474957180929,1665923526,1460999086,127412309170445,42262481826356
31,281474955476993,281474413953724,353361194,63763619293614,280269045585102
32,281474952462337,281472927242763,281473778695793,22274660900406,49660811732054
